Assembly	Illumina coverage	PacBio coverage	Contamination	Total length	Correct length	Ambiguous length	Misassembled length	Unaligned length	Others_length	Total contigs	Correct contigs	Ambiguous contigs	Misassembled contigs	Unaligned contigs	Others contigs	Max contig length	Max good contig length	N50 all	N50 good contigs	%Plasmids coverage	Number plasmids complete	Plasmids complete length	%Plasmids complete (length)	Contamination length	Number contaminated contigs
megahit	1X	-	0%	7754069	2884756	4307745	550925	7328	3315	5048	2171	2511	357	6	3	20235	20235	1442	1440	7.223978	0	0	0.0	0	0
metaspades	1X	-	0%	9180006	4161882	4567094	445534	5496	0	6101	3187	2683	227	4	0	64558	64558	1383	1364	7.794279	0	0	0.0	0	0
spades	1X	-	0%	13834635	4930780	4021613	4794871	25173	62198	8773	3476	2311	2931	19	36	93999	93999	1467	1426	7.239091	20	1298480	0.5208982690229753	0	0
megahit	2X	-	0%	45354852	32288426	11329308	1723221	8920	4977	27997	22204	4780	1002	7	4	36881	36881	1546	1540	24.99208	16	64648	0.02593419328429957	0	0
metaspades	2X	-	0%	55243004	42389033	11215978	1624307	9340	4346	34168	29099	4374	688	6	1	47689	47689	1538	1522	28.43313	14	49198	0.01973627090089361	0	0
spades	2X	-	0%	64391949	38304922	8390850	17593195	18829	84153	36441	24879	3041	8462	11	48	115035	63759	1710	1590	23.82124	14	49214	0.01974268946129067	0	0
megahit	5X	-	0%	184331120	169638385	12623827	2068908	0	0	56727	53103	3193	431	0	0	184557	184557	4093	4075	80.9683	112	1424723	0.5715419140358114	0	0
metaspades	5X	-	0%	189634492	174840065	10614050	4169961	10416	0	50741	48114	1983	640	4	0	184228	184228	4878	4823	81.69145	137	1767512	0.7090551577824357	0	0
spades	5X	-	0%	194159420	175599958	9951555	8605658	2249	0	50813	47713	1858	1240	2	0	201993	184789	5032	4899	81.06064	144	1587452	0.6368222837140812	0	0
megahit	10X	-	0%	204907565	190324845	12910441	1672279	0	0	18321	14769	3489	63	0	0	369321	369321	35292	35107	89.32368	447	10132003	4.064554574914972	0	0
metaspades	10X	-	0%	206878234	188054245	11644520	7172134	7335	0	12695	10241	2244	206	4	0	471101	423338	48905	48043	87.98264	539	15121314	6.066066699489312	0	0
spades	10X	-	0%	209308318	189203005	10752121	9352071	1121	0	13985	11364	2379	241	1	0	482749	482749	49616	48638	87.70948	559	16684709	6.693238276486397	0	0
megahit	20X	-	0%	205727370	190861346	12895904	1970120	0	0	16413	12876	3507	30	0	0	823396	708657	51557	50875	89.48668	549	23155280	9.288972699419567	0	0
metaspades	20X	-	0%	209576906	188181506	11238348	10149466	7586	0	9217	6959	2086	168	4	0	1770377	1770377	84436	82150	87.57061	727	44954702	18.034029369912272	0	0
spades	20X	-	0%	210291727	190877123	10870719	8542764	1121	0	12043	9504	2415	123	1	0	1770377	1770377	78142	75082	88.40198	736	44444189	17.829231962163423	0	0
hybridspades	10X	1X	0%	210377746	187218272	8791667	14367807	0	0	12141	10221	1600	320	0	0	538366	534238	55607	53853	84.78997	605	20252281	8.124405548538977	0	0
unicycler	10X	1X	0%	209774996	173263205	6191286	30316910	3595	0	8062	6482	988	589	3	0	752078	752078	86228	82519	77.184	685	30106510	12.07752829872073	0	0
megahitCap3	10X	1X	0%	249465543	230007146	11591489	7866908	0	0	17308	15190	1844	274	0	0	369321	369321	33402	33227	87.70302	501	11488513	4.608732160178015	0	0
megahitCap3Stringent	10X	1X	0%	250142133	232248958	11876477	6016698	0	0	17852	15674	1973	205	0	0	369321	369321	33041	32832	88.89444	501	11453278	4.5945972867036255	0	0
metaspadesCap3	10X	1X	0%	256083981	230755410	11362698	13965873	0	0	13993	12195	1374	424	0	0	471101	423338	39618	38777	86.30043	581	15994049	6.416173093747034	0	0
spadesCap3	10X	1X	0%	258846343	231102532	11742140	16001671	0	0	14877	12957	1451	469	0	0	482749	482749	39733	39008	86.46848	601	18980635	7.614272007621913	0	0
hybridspades	10X	5X	0%	213699173	189562468	6394844	17741861	0	0	8259	7004	957	298	0	0	737940	737940	88625	87465	83.71233	748	33025231	13.248402487511477	0	0
unicycler	10X	5X	0%	211679873	162009636	5443062	44223580	3595	0	5498	4204	753	538	3	0	1848068	1848068	161620	148453	72.09999	889	69574409	27.910471640992938	0	0
hybridspades	10X	0.5X	0%	209730275	189537461	9909884	10282930	0	0	13243	11002	1971	270	0	0	536288	536288	51176	50331	86.77081	566	17517718	7.027408187598281	0	0
unicycler	10X	0.5X	0%	208934694	176057686	6773254	26100159	3595	0	9409	7643	1125	638	3	0	606349	577073	70220	68225	78.61915	613	22387026	8.980779905714638	0	0
hybridspades	10X	-	5%	210335012	187036632	8813266	14456376	28738	0	12232	10259	1625	326	22	0	538366	534238	55229	53636	84.73955	599	19242775	7.719432096527157	27612	21
megahit	10X	-	5%	204919768	190316544	12913498	1670453	19273	0	18343	14773	3490	64	16	0	369321	369321	35292	35107	89.30327	446	10112101	4.056570688101085	18125	15
metaspades	10X	-	5%	206899547	188066342	11624442	7186550	22213	0	12716	10251	2242	207	16	0	490307	490307	48723	47642	87.96812	539	15182208	6.090494938040453	20984	15
spades	10X	-	5%	209321084	188938131	10701456	9653329	28168	0	14013	11365	2377	249	22	0	471100	423183	49421	48272	87.53142	555	16366890	6.565741998559426	27042	21
unicycler	10X	-	5%	209448198	175570468	6336761	27524025	16944	0	7995	6359	1093	530	13	0	888468	752099	89955	86673	78.63196	708	33131745	13.29113164639472	8878	6
hybridspades	10X	-	10%	210362788	187081136	8943035	14176203	154437	7977	12540	10389	1704	325	116	6	534238	534238	54083	52433	84.91674	591	18915976	7.588333401577339	150530	113
megahit	10X	-	10%	204981148	190384567	12926458	1581307	82993	5823	18411	14782	3498	64	63	4	369321	369321	35159	35061	89.35064	444	10116513	4.058340606130574	80269	61
metaspades	10X	-	10%	206970669	188219367	11654337	7003163	92738	1064	12785	10259	2250	207	68	1	471101	423338	48552	47486	88.05127	539	15121314	6.066066699489312	90547	66
spades	10X	-	10%	209468807	189151932	10683131	9473070	152697	7977	14155	11411	2376	247	115	6	471100	423183	49190	48075	87.59036	554	16348019	6.558171707731125	148790	112
unicycler	10X	-	10%	209513583	175564184	6349121	27536588	63690	0	8016	6345	1093	533	45	0	888468	752099	89726	87032	78.63903	708	33131745	13.29113164639472	57908	40
hybridspades	10X	-	20%	211094213	186998232	9278258	13577116	1196959	43648	13765	10644	1868	307	917	29	538366	483641	52627	51623	85.06108	583	18089889	7.256940320157231	1193655	914
megahit	10X	-	20%	205323582	190337696	12917489	1618304	426966	23127	18679	14804	3471	65	321	18	369321	369321	34955	34921	89.3084	449	10228880	4.1034177546390636	424672	319
metaspades	10X	-	20%	207330588	188303773	11666269	6911208	439898	9440	13083	10302	2247	203	324	7	490307	490307	48159	46983	88.09015	539	15121314	6.066066699489312	438811	323
spades	10X	-	20%	210561986	189346474	10700401	9273383	1198080	43648	14956	11390	2370	249	918	29	482749	482749	48961	48199	87.67425	555	16352519	6.559976927842796	1194776	915
unicycler	10X	-	20%	209671215	176902255	6449663	26008378	284303	26616	8250	6426	1124	499	187	14	888468	752099	89227	86648	79.37622	710	33474723	13.428720709386036	283054	186
